video sequence,total frames,bitrate(kbps)
programming_1280x720_qp22(anchor),600,1800
programming_1280x720_qp27(anchor),600,1200
programming_1280x720_qp32(anchor),600,700
programming_1280x720_qp37(anchor),600,350
?browsing_1280x720_qp22(anchor),300,540
browsing_1280x720_qp27(anchor),300,390
browsing_1280x720_qp32(anchor),300,270
browsing_1280x720_qp37(anchor),300,180
?SlideEditing_1280x720_qp22(anchor),300,330
SlideEditing_1280x720_qp27(anchor),300,230
SlideEditing_1280x720_qp32(anchor),300,150
SlideEditing_1280x720_qp37(anchor),300,100
?SlideShow_1280x720_qp22(anchor),500,1000
SlideShow_1280x720_qp27(anchor),500,700
SlideShow_1280x720_qp32(anchor),500,400
SlideShow_1280x720_qp37(anchor),500,280
?ChineseDocumentEditing_1920x1080_qp22(anchor),300,1300
ChineseDocumentEditing_1920x1080_qp27(anchor),300,1000
ChineseDocumentEditing_1920x1080_qp32(anchor),300,700
ChineseDocumentEditing_1920x1080_qp37(anchor),300,450
?CircuitLayoutPresentation_1920x1080_qp22(anchor),300,6500
CircuitLayoutPresentation_1920x1080_qp27(anchor),300,4500
CircuitLayoutPresentation_1920x1080_qp32(anchor),300,2600
CircuitLayoutPresentation_1920x1080_qp37(anchor),300,1500
?ClearTypeSpreadsheet_1920x1080_qp22(anchor),300,800
ClearTypeSpreadsheet_1920x1080_qp27(anchor),300,500
ClearTypeSpreadsheet_1920x1080_qp32(anchor),300,350
ClearTypeSpreadsheet_1920x1080_qp37(anchor),300,250
?EnglishDocumentEditing_1920x1080_qp22(anchor),300,1000
EnglishDocumentEditing_1920x1080_qp27(anchor),300,700
EnglishDocumentEditing_1920x1080_qp32(anchor),300,450
EnglishDocumentEditing_1920x1080_qp37(anchor),300,250
?MissionControlClip3_1920x1080_qp22(anchor),250,1000
MissionControlClip3_1920x1080_qp27(anchor),250,600
MissionControlClip3_1920x1080_qp32(anchor),250,350
MissionControlClip3_1920x1080_qp37(anchor),250,200
?console_1920x1080_qp22(anchor),244,9600
console_1920x1080_qp27(anchor),244,7000
console_1920x1080_qp32(anchor),244,4500
console_1920x1080_qp37(anchor),244,3000
?desktop_1920x1080_qp22(anchor),250,5000
desktop_1920x1080_qp27(anchor),250,3500
desktop_1920x1080_qp32(anchor),250,2700
desktop_1920x1080_qp37(anchor),250,1800
?flyingGraphics_1920x1080_qp22(anchor),250,27000
flyingGraphics_1920x1080_qp27(anchor),250,16000
flyingGraphics_1920x1080_qp32(anchor),250,9000
flyingGraphics_1920x1080_qp37(anchor),250,5000
?6cycle_1920x1080_qp22(anchor),209,4000
6cycle_1920x1080_qp27(anchor),209,3000
6cycle_1920x1080_qp32(anchor),209,2000
6cycle_1920x1080_qp37(anchor),209,1000
?LogVerScroll_1920x1080_qp22(anchor),250,600
LogVerScroll_1920x1080_qp27(anchor),250,350
LogVerScroll_1920x1080_qp32(anchor),250,250
LogVerScroll_1920x1080_qp37(anchor),250,200
?Screen_2560x1440_qp22(anchor),150,2300
Screen_2560x1440_qp27(anchor),150,1200
Screen_2560x1440_qp32(anchor),150,650
Screen_2560x1440_qp37(anchor),150,400
?MissionControlClip2_2560x1440_qp22(anchor),150,1200
MissionControlClip2_2560x1440_qp27(anchor),150,650
MissionControlClip2_2560x1440_qp32(anchor),150,400
MissionControlClip2_2560x1440_qp37(anchor),150,250
