video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
Beauty_3840x2160_br58000(anchor),600,57897.96,37.57,39.6615,41.0195,900.34
Beauty_3840x2160_br14700(anchor),600,14628.78,35.687,38.0825,39.8445,442.01
Beauty_3840x2160_br2000(anchor),600,1974.8,34.785,37.014,39.1105,185.28
Beauty_3840x2160_br1000(anchor),600,980.01,34.3805,36.7825,38.8785,149.58
Chimei-inn_3840x2160_br7600(anchor),317,8629.9,44.806,48.4655,48.8305,133.55
Chimei-inn_3840x2160_br4800(anchor),317,5549.56,43.344,47.1985,47.5135,109.21
Chimei-inn_3840x2160_br2300(anchor),317,2655.59,40.851,45.107,45.294,93.69
Chimei-inn_3840x2160_br1200(anchor),317,1357.72,38.3405,43.388,43.537,77.28
Girlhood_3840x2160_br17700(anchor),235,16400.3,45.029,48.661,47.9115,147.22
Girlhood_3840x2160_br12000(anchor),235,11059.62,43.471,47.264,46.446,134.3
Girlhood_3840x2160_br6000(anchor),235,5519.43,40.811,45.0145,44.0845,115.22
Girlhood_3840x2160_br3200(anchor),235,2956.42,38.3555,43.308,42.252,97.95
RaceNight_3840x2160_50fps_8bit_br14800(anchor),600,14778.42,37.3595,44.206,43.8885,386.69
RaceNight_3840x2160_50fps_8bit_br8500(anchor),600,8139.51,36.6735,43.5485,43.3225,273.52
RaceNight_3840x2160_50fps_8bit_br4300(anchor),600,4120.84,35.84,42.249,42.214,269.81
RaceNight_3840x2160_50fps_8bit_br2400(anchor),600,2300.51,34.7265,41.123,41.188,179.69
PeopleOnStreet_2560x1600_30_crop_br10100(anchor),150,10396.95,34.663,40.0725,40.8995,50.99
PeopleOnStreet_2560x1600_30_crop_br8500(anchor),150,8752.48,33.8655,39.637,40.4925,47.93
PeopleOnStreet_2560x1600_30_crop_br4300(anchor),150,4431.09,31.111,38.4135,39.418,40.46
PeopleOnStreet_2560x1600_30_crop_br2400(anchor),150,2456.96,28.873,37.4105,38.535,36.67
Traffic_2560x1600_30_crop_br31000(anchor),150,31441.41,43.265,43.031,44.8665,61.82
Traffic_2560x1600_30_crop_br20800(anchor),150,21076.81,41.87,41.8065,43.771,52.08
Traffic_2560x1600_30_crop_br10700(anchor),150,10801.31,39.596,40.066,42.115,42.06
Traffic_2560x1600_30_crop_br5800(anchor),150,5809.01,37.3485,38.66,40.755,35.68
BasketballDrive_1920x1080_50_br8300(anchor),501,8318.25,39.517,47.7365,48.533,89.87
BasketballDrive_1920x1080_50_br5000(anchor),501,5010.74,38.188,46.909,47.3905,77.21
BasketballDrive_1920x1080_50_br2300(anchor),501,2305.48,35.785,45.3675,45.342,59.91
BasketballDrive_1920x1080_50_br1100(anchor),501,1102.11,33.3475,44.2705,43.8825,49.66
BQTerrace_1920x1080_60_br14000(anchor),601,14288.26,38.254,45.4015,47.276,118.84
BQTerrace_1920x1080_60_br5100(anchor),601,5187.32,35.997,44.368,46.4725,84.95
BQTerrace_1920x1080_60_br1300(anchor),601,1315.27,33.3115,43.048,45.3585,52.8
BQTerrace_1920x1080_60_br500(anchor),601,511.86,31.217,42.343,44.688,36.29
Cactus_1920x1080_50_br7600(anchor),500,7608.58,37.8955,39.703,42.143,82.18
Cactus_1920x1080_50_br4300(anchor),500,4304.85,36.4945,38.8035,41.018,64.21
Cactus_1920x1080_50_br1900(anchor),500,1904.39,34.1505,37.5755,39.177,49.4
Cactus_1920x1080_50_br900(anchor),500,901.77,31.92,36.705,37.8215,41.42
Kimono1_1920x1080_24_br5000(anchor),240,4526.11,40.5785,42.2905,43.4025,39.44
Kimono1_1920x1080_24_br3300(anchor),240,2887,39.237,41.247,42.2815,34.63
Kimono1_1920x1080_24_br1600(anchor),240,1350.2,36.919,39.8315,40.953,28.73
Kimono1_1920x1080_24_br800(anchor),240,666.68,34.718,38.9365,40.306,22.72
ParkScene_1920x1080_24_br7500(anchor),240,7396.36,38.252,40.523,41.4225,39.44
ParkScene_1920x1080_24_br4400(anchor),240,4322.91,36.345,39.2045,40.249,33.21
ParkScene_1920x1080_24_br1800(anchor),240,1770.88,33.6895,37.5475,38.9695,25.03
ParkScene_1920x1080_24_br700(anchor),240,692.4,31.3775,36.518,38.3045,18.27
BasketballDrill_832x480_50_br2000(anchor),501,2048.1,39.423,46.279,46.563,18.59
BasketballDrill_832x480_50_br1300(anchor),501,1339.23,37.379,44.912,45.07,16.11
BasketballDrill_832x480_50_br600(anchor),501,624.65,33.909,42.669,42.5865,12.57
BasketballDrill_832x480_50_br300(anchor),501,315.04,31.2325,41.209,40.8195,10.03
BQMall_832x480_60_br1800(anchor),601,1811.23,39.187,46.16,47.2295,20.43
BQMall_832x480_60_br1100(anchor),601,1112.86,37.1265,44.8975,45.8435,17.19
BQMall_832x480_60_br500(anchor),601,511.87,33.8785,43.0845,43.8645,13.3
BQMall_832x480_60_br200(anchor),601,208.19,30.307,41.343,41.908,10.17
PartyScene_832x480_50_br4700(anchor),501,4510.53,37.3865,44.605,45.2515,25.27
PartyScene_832x480_50_br2800(anchor),501,2680.41,34.851,43.0845,43.729,21.17
PartyScene_832x480_50_br1100(anchor),501,1055.87,30.7555,40.971,41.5495,15.25
PartyScene_832x480_50_br400(anchor),501,391.9,27.3725,39.5465,40.1135,10.55
RaceHorses_832x480_30_br4400(anchor),300,4034.24,38.8915,40.8845,42.151,15.94
RaceHorses_832x480_30_br2800(anchor),300,2583.55,36.8185,39.275,40.7065,13.74
RaceHorses_832x480_30_br1200(anchor),300,1137.29,33.1685,36.7855,38.349,10.73
RaceHorses_832x480_30_br500(anchor),300,492.08,30.141,35.1445,36.535,8.38
BasketballPass_416x240_50_br900(anchor),501,964.66,40.219,47.6625,47.155,6.12
BasketballPass_416x240_50_br600(anchor),501,643.75,37.9155,46.03,45.349,5.37
BasketballPass_416x240_50_br300(anchor),501,324.52,34.1725,43.754,42.8435,4.33
BasketballPass_416x240_50_br100(anchor),501,111.97,29.99,41.2825,39.805,3.1
BlowingBubbles_416x240_50_br1000(anchor),501,1052.14,37.0525,44.4945,45.052,5.97
BlowingBubbles_416x240_50_br600(anchor),501,633.63,34.523,42.952,43.4775,4.94
BlowingBubbles_416x240_50_br200(anchor),501,214.16,29.8665,40.4005,40.8725,3.39
BlowingBubbles_416x240_50_br100(anchor),501,108.05,27.7825,39.404,39.9065,2.66
BQSquare_416x240_60_br1100(anchor),601,1091.42,36.8535,45.182,45.982,7.15
BQSquare_416x240_60_br600(anchor),601,594.58,34.186,43.976,44.761,5.81
BQSquare_416x240_60_br200(anchor),601,200.94,30.059,42.515,43.1555,3.94
BQSquare_416x240_60_br70(anchor),601,72.56,26.9155,41.6935,42.253,2.57
RaceHorses_416x240_30_br1100(anchor),300,1077.27,38.223,40.1265,41.064,4.1
RaceHorses_416x240_30_br800(anchor),300,786.44,36.5025,38.824,39.789,3.69
RaceHorses_416x240_30_br300(anchor),300,299.64,31.718,35.4815,36.3775,2.74
RaceHorses_416x240_30_br100(anchor),300,100.96,28.388,33.1465,33.8685,1.92
FourPeople_1280x720_60_br800(anchor),600,759.88,40.386,44.419,45.505,21.33
FourPeople_1280x720_60_br500(anchor),600,474.27,38.903,43.307,44.3865,18.22
FourPeople_1280x720_60_br200(anchor),600,190.74,35.2655,41.0475,41.995,14.42
FourPeople_1280x720_60_br100(anchor),600,92.85,32.245,39.899,40.657,12.35
Johnny_1280x720_60_br500(anchor),600,482.85,41.4065,46.0885,46.648,19.57
Johnny_1280x720_60_br250(anchor),600,238.82,40.0275,44.9665,45.499,15.74
Johnny_1280x720_60_br100(anchor),600,93.94,37.2515,42.9635,43.4615,12.52
Johnny_1280x720_60_br60(anchor),600,54.92,35.0885,41.855,42.3015,11.27
KristenAndSara_1280x720_60_br700(anchor),600,701.46,41.5505,45.3075,46.139,22.73
KristenAndSara_1280x720_60_br400(anchor),600,401.92,40.1555,44.191,45.0485,18.92
KristenAndSara_1280x720_60_br200(anchor),600,201.78,37.864,42.4745,43.38,15.52
KristenAndSara_1280x720_60_br100(anchor),600,100.25,35.0485,41.0055,41.949,12.87
BasketballDrillText_832x480_50_br2200(anchor),501,2279.27,39.49,46.043,46.3345,18.71
BasketballDrillText_832x480_50_br1500(anchor),501,1558.97,37.5565,44.645,44.8285,16.44
BasketballDrillText_832x480_50_br700(anchor),501,732.64,33.8705,42.108,42.1415,13.32
BasketballDrillText_832x480_50_br300(anchor),501,314.18,30.2155,39.971,39.856,10.66
ChinaSpeed_1024x768_30_br5400(anchor),500,5313.95,40.485,43.4125,43.5315,43.2
ChinaSpeed_1024x768_30_br3700(anchor),500,3602.65,38.2425,41.9045,41.841,37.09
ChinaSpeed_1024x768_30_br1700(anchor),500,1629.83,34.244,39.406,38.7575,26.89
ChinaSpeed_1024x768_30_br700(anchor),500,669.07,30.86,37.7455,36.7,20.63
SlideEditing_1280x720_30_br700(anchor),300,643.15,32.886,38.489,38.3085,7.45
SlideEditing_1280x720_30_br500(anchor),300,502.66,32.0235,38.0985,37.872,7
SlideEditing_1280x720_30_br400(anchor),300,429.69,31.561,37.902,37.64,6.71
SlideEditing_1280x720_30_br200(anchor),300,291.2,30.4805,37.5035,37.136,6.04
SlideShow_1280x720_20_br1200(anchor),500,1133.52,44.7485,48.5305,49.668,18.06
SlideShow_1280x720_20_br900(anchor),500,867.57,43.0185,47.097,48.2445,17.2
SlideShow_1280x720_20_br500(anchor),500,575.22,40.241,44.781,46.1215,16.17
SlideShow_1280x720_20_br300(anchor),500,440.26,37.996,43.186,44.6035,16.32
