video sequence,BD-rate(piecewise_cubic)(%),BD-rate(cubic)(%),Delta_Y-PSNR(dB),Delta_U-PSNR(dB),Delta_V-PSNR(dB),Delta_time(%)
﻿Beauty_3840x2160,-64.8,-66.4,0.094,-0.47,-0.222,81.861
﻿Chimei-inn_3840x2160,-38.4,-38.3,1.656,0.533,0.558,128.82
﻿Girlhood_3840x2160,-33.3,-33.3,0.891,-0.549,-0.601,99.219
﻿RaceNight_3840x2160,-55.4,-52.6,1.087,0.111,0.283,-32.747
﻿PeopleOnStreet_2560x1600,-9.4,-9.4,0.209,-0.516,-0.549,252.791
﻿Traffic_2560x1600,-30.4,-30.3,0.964,0.257,0.224,167.609
﻿BasketballDrive_1920x1080,-31.4,-31.2,0.575,-0.082,-0.101,220.558
﻿BQTerrace_1920x1080,-37.2,-36.8,0.749,0.261,0.103,228.203
﻿Cactus_1920x1080,-25.9,-25.6,0.506,-0.033,0.165,214.199
﻿Kimono1_1920x1080,-31.4,-31.2,1.171,-0.058,0.067,156.45
﻿ParkScene_1920x1080,-24.4,-24.4,0.814,0.389,0.202,237.367
﻿BasketballDrill_832x480,-25.7,-25.6,0.371,0.139,0.054,300.923
﻿BQMall_832x480,-17.1,-17.1,0.579,0.035,0.026,268.338
﻿PartyScene_832x480,-23.6,-23.6,0.507,0.254,0.267,340.925
﻿RaceHorses_832x480,-1.9,-1.8,-0.067,0.017,-0.174,306.265
﻿BasketballPass_416x240,-3.3,-3.2,0.069,-0.04,-0.104,342.089
﻿BlowingBubbles_416x240,-8.8,-8.8,0.56,0.632,0.681,458.816
﻿BQSquare_416x240,-26.4,-26.4,0.864,0.367,0.589,391.59
﻿RaceHorses_416x240,0.5,0.4,0.125,0.352,0.28,459.688
﻿FourPeople_1280x720,-19.0,-18.7,0.807,-0.117,-0.031,158.094
﻿Johnny_1280x720,-24.1,-23.2,1.076,0.309,0.449,126.228
﻿KristenAndSara_1280x720,-23.2,-22.8,1.022,0.241,0.315,132.676
﻿BasketballDrillText_832x480,-11.9,-11.7,0.291,0.171,0.096,310.995
﻿ChinaSpeed_1024x768,54.3,54.2,-1.227,-0.207,-0.394,89.589
﻿SlideEditing_1280x720,10.5,11.1,-0.067,-0.514,-0.452,283.48
﻿SlideShow_1280x720,209.9,212.5,-5.293,0.759,0.709,267.006
﻿Average,-11.2,-10.9,0.321,0.086,0.094,230.424
