video sequence,BD-rate(piecewise_cubic)(%),BD-rate(cubic)(%),Delta_Y-PSNR(dB),Delta_U-PSNR(dB),Delta_V-PSNR(dB),Delta_time(%)
﻿Beauty_3840x2160,-88.3,-88.7,0.051,-0.434,-0.076,6492.315
﻿Chimei-inn_3840x2160,-70.4,-70.3,1.821,2.306,2.323,7483.393
﻿Girlhood_3840x2160,-63.2,-63.2,0.011,-0.344,-0.722,6357.197
﻿RaceNight_3840x2160,-77.4,-77.5,0.355,-0.272,-0.166,5052.971
﻿PeopleOnStreet_2560x1600,-47.0,-47.1,-1.745,-0.73,-0.372,8616.527
﻿Traffic_2560x1600,-67.7,-67.7,0.495,0.272,0.297,6138.528
﻿BasketballDrive_1920x1080,-70.2,-70.2,0.055,0.116,-0.272,9174.237
﻿BQTerrace_1920x1080,-76.4,-76.2,0.176,0.274,0.486,6065.857
﻿Cactus_1920x1080,-64.1,-64.1,0.142,0.005,0.322,8413.871
﻿Kimono1_1920x1080,-65.5,-65.4,1.452,0.584,0.76,8721.7
﻿ParkScene_1920x1080,-65.0,-65.0,0.797,0.857,0.613,8207.042
﻿BasketballDrill_832x480,-66.6,-66.6,1.292,1.293,1.447,13000.314
﻿BQMall_832x480,-62.0,-61.9,0.685,0.728,0.811,9501.517
﻿PartyScene_832x480,-64.3,-64.3,-0.341,0.141,0.228,10563.821
﻿RaceHorses_832x480,-51.4,-51.3,-0.648,-0.177,-0.088,12406.691
﻿BasketballPass_416x240,-51.3,-51.3,0.833,1.152,0.649,13862.013
﻿BlowingBubbles_416x240,-58.8,-58.8,0.808,0.947,1.286,11928.592
﻿BQSquare_416x240,-70.8,-70.8,0.605,0.598,1.057,8186.705
﻿RaceHorses_416x240,-47.4,-47.4,0.253,0.629,0.728,13398.025
﻿FourPeople_1280x720,-56.9,-56.6,2.168,1.7,2.061,6987.704
﻿Johnny_1280x720,-69.4,-68.5,2.799,2.413,2.85,5690.507
﻿KristenAndSara_1280x720,-60.3,-59.8,2.43,2.225,2.619,7069.148
﻿BasketballDrillText_832x480,-66.3,-66.3,0.991,1.074,1.142,12232.564
﻿ChinaSpeed_1024x768,-49.1,-49.1,-0.768,0.492,-0.216,11064.736
﻿SlideEditing_1280x720,-19.3,-19.2,-2.164,-1.647,-0.553,8596.57
﻿SlideShow_1280x720,-63.7,-63.7,2.261,3.307,3.568,7649.35
﻿Average,-62.0,-62.0,0.57,0.673,0.799,8956.227
