video sequence,BD-rate_1(piecewise_cubic)(%),BD-rate_1(cubic)(%),Delta_Y-PSNR_1(dB),Delta_U-PSNR_1(dB),Delta_V-PSNR_1(dB),Delta_time_1(%),BD-rate_2(piecewise_cubic)(%),BD-rate_2(cubic)(%),Delta_Y-PSNR_2(dB),Delta_U-PSNR_2(dB),Delta_V-PSNR_2(dB),Delta_time_2(%)
﻿Beauty_3840x2160,-60.4,-55.6,2.689,0.414,0.672,523.516,-82.4,-79.9,2.67,0.669,0.809,541.635
﻿Chimei-inn_3840x2160,-65.2,-64.9,6.868,3.017,3.15,361.061,-73.0,-72.8,6.31,2.43,2.552,430.466
﻿Girlhood_3840x2160,-59.3,-59.3,5.202,1.866,1.98,492.815,-65.8,-65.9,5.723,2.154,2.195,484.536
﻿RaceNight_3840x2160,-58.9,-53.4,2.604,0.79,1.122,434.428,-66.2,-65.0,2.42,0.489,0.827,602.467
﻿PeopleOnStreet_2560x1600,-55.8,-55.9,3.816,0.051,0.139,542.315,-38.6,-38.4,2.35,-0.757,-0.534,946.778
﻿Traffic_2560x1600,-27.9,-27.9,1.136,1.18,1.38,508.249,-28.0,-28.0,0.191,0.702,0.836,540.642
﻿BasketballDrive_1920x1080,-48.8,-48.3,2.374,0.881,1.235,547.574,-55.9,-55.7,2.112,0.54,0.676,819.755
﻿BQTerrace_1920x1080,-56.9,-55.6,3.0,1.053,1.101,482.41,-64.4,-64.3,1.55,0.144,0.29,840.572
﻿Cactus_1920x1080,-42.6,-42.0,1.858,0.515,1.043,484.893,-53.9,-53.7,0.987,0.054,0.063,791.723
﻿Kimono1_1920x1080,-46.7,-46.6,2.527,0.024,0.488,564.001,-50.9,-50.8,3.022,0.318,0.68,705.354
﻿ParkScene_1920x1080,-34.9,-34.8,1.735,0.6,0.616,520.777,-37.3,-37.3,0.867,0.184,0.253,876.478
﻿BasketballDrill_832x480,-42.5,-42.6,2.447,1.608,1.723,612.142,-47.8,-47.9,1.693,0.931,0.5,1277.953
﻿BQMall_832x480,-32.3,-32.2,2.062,0.607,0.655,591.708,-44.3,-44.0,1.035,-0.378,-0.53,1267.145
﻿PartyScene_832x480,-31.1,-31.1,1.375,0.78,0.869,635.296,-43.6,-43.4,0.209,-0.238,-0.25,1328.391
﻿RaceHorses_832x480,-26.8,-26.7,1.186,0.555,0.451,619.028,-38.1,-38.0,1.051,-0.066,-0.203,1180.713
﻿BasketballPass_416x240,-24.3,-24.1,1.76,0.919,0.878,2423.018,-35.7,-35.7,2.466,1.101,0.984,7064.134
﻿BlowingBubbles_416x240,-18.3,-18.2,1.022,0.788,0.863,1737.144,-31.1,-31.2,0.454,0.104,0.055,5635.986
﻿BQSquare_416x240,-37.8,-37.9,1.663,0.631,0.956,3127.786,-59.6,-59.6,0.893,0.053,0.071,9190.104
﻿RaceHorses_416x240,-21.4,-21.1,1.241,0.509,0.418,2068.081,-40.6,-40.5,0.319,-0.519,-0.706,5032.91
﻿FourPeople_1280x720,-55.1,-55.1,4.573,2.003,2.126,386.173,-56.2,-56.2,2.036,0.306,0.337,702.044
﻿Johnny_1280x720,-67.7,-71.5,6.56,4.526,4.338,370.739,-66.6,-70.0,4.051,1.99,1.943,626.219
﻿KristenAndSara_1280x720,-66.2,-65.8,5.886,2.912,2.874,419.665,-70.0,-70.0,3.345,0.881,0.911,634.387
﻿BasketballDrillText_832x480,-39.8,-39.9,2.53,1.721,1.79,612.154,-47.7,-47.8,1.874,0.877,0.543,1305.722
﻿ChinaSpeed_1024x768,-49.8,-49.8,3.317,1.479,2.449,602.352,-67.6,-67.3,2.471,0.644,1.276,906.353
﻿SlideEditing_1280x720,0.0,-60.2,8.794,2.671,2.912,372.88,-68.2,-65.5,8.588,2.418,2.216,785.596
﻿SlideShow_1280x720,-33.1,-33.1,5.321,3.422,3.496,472.396,-48.7,-48.7,0.402,-1.127,-0.649,1694.836
﻿Average:,-42.4,-44.4,3.213,1.366,1.528,788.946,-53.2,-53.0,2.273,0.535,0.583,1777.419
