video sequence,BD-rate_1(piecewise_cubic)(%),BD-rate_1(cubic)(%),Delta_Y-PSNR_1(dB),Delta_U-PSNR_1(dB),Delta_V-PSNR_1(dB),Delta_time_1(%),BD-rate_2(piecewise_cubic)(%),BD-rate_2(cubic)(%),Delta_Y-PSNR_2(dB),Delta_U-PSNR_2(dB),Delta_V-PSNR_2(dB),Delta_time_2(%)
﻿Beauty_3840x2160,-66.2,-64.5,0.257,-1.968,-3.399,90.401,-64.8,-66.4,0.094,-0.47,-0.222,81.861
﻿Chimei-inn_3840x2160,-51.3,-51.2,1.616,-2.705,-2.763,129.878,-38.4,-38.3,1.656,0.533,0.558,128.82
﻿Girlhood_3840x2160,-43.3,-43.3,1.256,-3.098,-2.569,159.979,-33.3,-33.3,0.891,-0.549,-0.601,99.219
﻿RaceNight_3840x2160,-57.8,-54.9,0.997,-4.908,-4.599,86.949,-55.4,-52.6,1.087,0.111,0.283,-32.747
﻿PeopleOnStreet_2560x1600,-19.5,-19.4,0.499,-4.871,-5.299,293.472,-9.4,-9.4,0.209,-0.516,-0.549,252.791
﻿Traffic_2560x1600,-42.6,-42.5,0.77,-1.417,-3.051,159.65,-30.4,-30.3,0.964,0.257,0.224,167.609
﻿BasketballDrive_1920x1080,-43.0,-42.8,0.903,-3.597,-3.53,207.288,-31.4,-31.2,0.575,-0.082,-0.101,220.558
﻿BQTerrace_1920x1080,-53.5,-53.3,0.758,-4.274,-6.141,151.329,-37.2,-36.8,0.749,0.261,0.103,228.203
﻿Cactus_1920x1080,-35.0,-34.9,0.487,-2.521,-3.77,184.017,-25.9,-25.6,0.506,-0.033,0.165,214.199
﻿Kimono1_1920x1080,-47.4,-47.3,1.339,-2.453,-3.11,229.664,-31.4,-31.2,1.171,-0.058,0.067,156.45
﻿ParkScene_1920x1080,-36.4,-36.4,0.649,-2.831,-3.81,186.746,-24.4,-24.4,0.814,0.389,0.202,237.367
﻿BasketballDrill_832x480,-34.8,-34.8,0.806,-2.22,-2.1,307.077,-25.7,-25.6,0.371,0.139,0.054,300.923
﻿BQMall_832x480,-31.9,-31.8,0.621,-3.67,-4.258,236.217,-17.1,-17.1,0.579,0.035,0.026,268.338
﻿PartyScene_832x480,-27.8,-27.8,0.394,-3.793,-4.311,300.565,-23.6,-23.6,0.507,0.254,0.267,340.925
﻿RaceHorses_832x480,-22.1,-22.0,0.237,-2.776,-4.0,335.789,-1.9,-1.8,-0.067,0.017,-0.174,306.265
﻿BasketballPass_416x240,-22.0,-22.0,0.31,-3.546,-2.585,342.027,-3.3,-3.2,0.069,-0.04,-0.104,342.089
﻿BlowingBubbles_416x240,-19.2,-19.2,0.135,-3.558,-3.96,294.67,-8.8,-8.8,0.56,0.632,0.681,458.816
﻿BQSquare_416x240,-39.5,-39.6,0.298,-6.113,-6.463,245.248,-26.4,-26.4,0.864,0.367,0.589,391.59
﻿RaceHorses_416x240,-17.3,-17.3,0.073,-2.763,-3.577,344.456,0.5,0.4,0.125,0.352,0.28,459.688
﻿FourPeople_1280x720,-33.7,-33.6,0.808,-3.748,-4.434,130.872,-19.0,-18.7,0.807,-0.117,-0.031,158.094
﻿Johnny_1280x720,-50.7,-50.4,1.205,-3.709,-3.897,94.246,-24.1,-23.2,1.076,0.309,0.449,126.228
﻿KristenAndSara_1280x720,-45.4,-45.2,1.028,-3.231,-3.665,119.46,-23.2,-22.8,1.022,0.241,0.315,132.676
﻿BasketballDrillText_832x480,-33.1,-33.1,0.756,-1.842,-1.815,305.327,-11.9,-11.7,0.291,0.171,0.096,310.995
﻿ChinaSpeed_1024x768,-20.8,-20.8,0.398,-3.998,-3.431,294.758,54.3,54.2,-1.227,-0.207,-0.394,89.589
﻿SlideEditing_1280x720,-8.6,-8.4,1.795,-1.381,-1.151,226.475,10.5,11.1,-0.067,-0.514,-0.452,283.48
﻿SlideShow_1280x720,-10.0,-9.8,0.867,-2.471,-3.463,272.283,209.9,212.5,-5.293,0.759,0.709,267.006
﻿Average:,-35.1,-34.9,0.741,-3.21,-3.66,220.34,-11.2,-10.9,0.321,0.086,0.094,230.424
