video sequence,BD-rate_1(piecewise_cubic)(%),BD-rate_1(cubic)(%),Delta_Y-PSNR_1(dB),Delta_U-PSNR_1(dB),Delta_V-PSNR_1(dB),Delta_time_1(%),BD-rate_2(piecewise_cubic)(%),BD-rate_2(cubic)(%),Delta_Y-PSNR_2(dB),Delta_U-PSNR_2(dB),Delta_V-PSNR_2(dB),Delta_time_2(%),BD-rate_3(piecewise_cubic)(%),BD-rate_3(cubic)(%),Delta_Y-PSNR_3(dB),Delta_U-PSNR_3(dB),Delta_V-PSNR_3(dB),Delta_time_3(%)
﻿Beauty_3840x2160,-66.2,-64.5,0.257,-1.968,-3.399,90.401,-64.8,-66.4,0.094,-0.47,-0.222,81.861,-88.3,-88.7,0.051,-0.434,-0.076,6492.315
﻿Chimei-inn_3840x2160,-51.3,-51.2,1.616,-2.705,-2.763,129.878,-38.4,-38.3,1.656,0.533,0.558,128.82,-70.4,-70.3,1.821,2.306,2.323,7483.393
﻿Girlhood_3840x2160,-43.3,-43.3,1.256,-3.098,-2.569,159.979,-33.3,-33.3,0.891,-0.549,-0.601,99.219,-63.2,-63.2,0.011,-0.344,-0.722,6357.197
﻿RaceNight_3840x2160,-57.8,-54.9,0.997,-4.908,-4.599,86.949,-55.4,-52.6,1.087,0.111,0.283,-32.747,-77.4,-77.5,0.355,-0.272,-0.166,5052.971
﻿PeopleOnStreet_2560x1600,-19.5,-19.4,0.499,-4.871,-5.299,293.472,-9.4,-9.4,0.209,-0.516,-0.549,252.791,-47.0,-47.1,-1.745,-0.73,-0.372,8616.527
﻿Traffic_2560x1600,-42.6,-42.5,0.77,-1.417,-3.051,159.65,-30.4,-30.3,0.964,0.257,0.224,167.609,-67.7,-67.7,0.495,0.272,0.297,6138.528
﻿BasketballDrive_1920x1080,-43.0,-42.8,0.903,-3.597,-3.53,207.288,-31.4,-31.2,0.575,-0.082,-0.101,220.558,-70.2,-70.2,0.055,0.116,-0.272,9174.237
﻿BQTerrace_1920x1080,-53.5,-53.3,0.758,-4.274,-6.141,151.329,-37.2,-36.8,0.749,0.261,0.103,228.203,-76.4,-76.2,0.176,0.274,0.486,6065.857
﻿Cactus_1920x1080,-35.0,-34.9,0.487,-2.521,-3.77,184.017,-25.9,-25.6,0.506,-0.033,0.165,214.199,-64.1,-64.1,0.142,0.005,0.322,8413.871
﻿Kimono1_1920x1080,-47.4,-47.3,1.339,-2.453,-3.11,229.664,-31.4,-31.2,1.171,-0.058,0.067,156.45,-65.5,-65.4,1.452,0.584,0.76,8721.7
﻿ParkScene_1920x1080,-36.4,-36.4,0.649,-2.831,-3.81,186.746,-24.4,-24.4,0.814,0.389,0.202,237.367,-65.0,-65.0,0.797,0.857,0.613,8207.042
﻿BasketballDrill_832x480,-34.8,-34.8,0.806,-2.22,-2.1,307.077,-25.7,-25.6,0.371,0.139,0.054,300.923,-66.6,-66.6,1.292,1.293,1.447,13000.314
﻿BQMall_832x480,-31.9,-31.8,0.621,-3.67,-4.258,236.217,-17.1,-17.1,0.579,0.035,0.026,268.338,-62.0,-61.9,0.685,0.728,0.811,9501.517
﻿PartyScene_832x480,-27.8,-27.8,0.394,-3.793,-4.311,300.565,-23.6,-23.6,0.507,0.254,0.267,340.925,-64.3,-64.3,-0.341,0.141,0.228,10563.821
﻿RaceHorses_832x480,-22.1,-22.0,0.237,-2.776,-4.0,335.789,-1.9,-1.8,-0.067,0.017,-0.174,306.265,-51.4,-51.3,-0.648,-0.177,-0.088,12406.691
﻿BasketballPass_416x240,-22.0,-22.0,0.31,-3.546,-2.585,342.027,-3.3,-3.2,0.069,-0.04,-0.104,342.089,-51.3,-51.3,0.833,1.152,0.649,13862.013
﻿BlowingBubbles_416x240,-19.2,-19.2,0.135,-3.558,-3.96,294.67,-8.8,-8.8,0.56,0.632,0.681,458.816,-58.8,-58.8,0.808,0.947,1.286,11928.592
﻿BQSquare_416x240,-39.5,-39.6,0.298,-6.113,-6.463,245.248,-26.4,-26.4,0.864,0.367,0.589,391.59,-70.8,-70.8,0.605,0.598,1.057,8186.705
