video sequence,BD-rate(piecewise_cubic)(%),BD-rate(cubic)(%),Delta_Y-PSNR(dB),Delta_U-PSNR(dB),Delta_V-PSNR(dB),Delta_time(%)
﻿Beauty_3840x2160,-27.5,-25.4,0.195,0.245,0.29,155.14
﻿Chimei-inn_3840x2160,2.8,2.8,-0.152,0.055,0.118,143.905
﻿Girlhood_3840x2160,4.5,4.3,-0.007,-0.198,-0.167,119.808
﻿RaceNight_3840x2160,3.5,-2.5,0.117,0.414,0.263,183.154
﻿PeopleOnStreet_2560x1600,38.9,38.4,-1.418,0.015,-0.059,215.989
﻿Traffic_2560x1600,-7.9,-7.9,0.101,0.082,0.403,168.682
﻿BasketballDrive_1920x1080,-0.6,-0.9,0.187,0.614,0.687,184.874
﻿BQTerrace_1920x1080,-15.0,-15.6,0.444,0.577,0.527,201.71
﻿Cactus_1920x1080,-16.9,-16.6,0.637,0.556,0.951,201.576
﻿Kimono1_1920x1080,-7.9,-8.1,0.733,0.922,0.846,169.192
﻿ParkScene_1920x1080,-13.7,-13.7,0.687,0.794,0.695,204.702
﻿BasketballDrill_832x480,-22.8,-22.8,1.104,1.58,1.429,224.369
﻿BQMall_832x480,-14.1,-14.1,0.747,0.943,0.961,224.736
﻿PartyScene_832x480,-25.1,-25.2,1.385,1.57,1.731,206.1
﻿RaceHorses_832x480,-3.0,-3.0,0.262,0.492,0.558,199.818
﻿BasketballPass_416x240,-8.8,-8.9,0.037,0.606,0.285,249.352
﻿BlowingBubbles_416x240,-22.4,-22.5,0.98,1.237,1.37,253.8
﻿BQSquare_416x240,-25.4,-25.8,1.258,1.423,1.562,250.991
﻿RaceHorses_416x240,-13.0,-13.2,0.541,0.87,0.892,261.665
﻿FourPeople_1280x720,-13.5,-13.2,1.355,0.796,0.867,203.406
﻿Johnny_1280x720,-8.6,-8.2,1.104,0.484,0.593,189.298
﻿KristenAndSara_1280x720,-17.2,-17.0,1.169,1.056,1.05,171.023
﻿BasketballDrillText_832x480,-24.9,-24.9,1.262,1.522,1.367,234.017
﻿ChinaSpeed_1024x768,-28.6,-28.5,1.444,1.681,1.793,175.342
﻿SlideEditing_1280x720,0.0,-41.5,8.737,4.262,4.376,276.105
﻿SlideShow_1280x720,-16.6,-16.5,-1.576,-1.322,-1.045,101.546
﻿Average:,-10.9,-12.7,0.82,0.818,0.859,198.858
