video sequence,BD-rate(piecewise_cubic)(%),BD-rate(cubic)(%),Delta_Y-PSNR(dB),Delta_U-PSNR(dB),Delta_V-PSNR(dB),Delta_time(%)
﻿Beauty_3840x2160,-36.8,-35.0,-0.019,0.255,0.137,11.095
﻿Chimei-inn_3840x2160,-21.8,-21.8,-0.558,-0.586,-0.598,17.328
﻿Girlhood_3840x2160,-14.5,-14.5,0.521,0.288,0.215,-1.099
﻿RaceNight_3840x2160,-17.6,-22.3,-0.184,-0.301,-0.295,35.699
﻿PeopleOnStreet_2560x1600,34.0,34.2,-1.466,-0.808,-0.674,63.132
﻿Traffic_2560x1600,3.6,3.8,-0.945,-0.478,-0.544,5.986
﻿BasketballDrive_1920x1080,-13.7,-14.0,-0.262,-0.34,-0.558,43.548
﻿BQTerrace_1920x1080,-11.0,-12.4,-1.45,-0.91,-0.81,67.018
﻿Cactus_1920x1080,-18.6,-19.1,-0.871,-0.461,-0.98,54.236
﻿Kimono1_1920x1080,-8.1,-7.9,0.495,0.294,0.192,23.429
﻿ParkScene_1920x1080,-0.9,-1.0,-0.869,-0.415,-0.363,59.607
﻿BasketballDrill_832x480,-9.6,-9.6,-0.754,-0.677,-1.223,93.661
﻿BQMall_832x480,-14.8,-14.7,-1.027,-0.986,-1.185,99.588
﻿PartyScene_832x480,-15.1,-15.1,-1.165,-1.017,-1.119,94.188
﻿RaceHorses_832x480,-15.2,-15.2,-0.135,-0.621,-0.654,77.894
﻿BasketballPass_416x240,-17.5,-17.5,0.705,0.182,0.106,144.402
﻿BlowingBubbles_416x240,-15.6,-15.8,-0.568,-0.684,-0.808,192.667
﻿BQSquare_416x240,-35.7,-35.6,-0.77,-0.578,-0.885,174.019
﻿RaceHorses_416x240,-21.6,-21.9,-0.922,-1.027,-1.125,137.199
﻿FourPeople_1280x720,-0.9,-0.9,-2.537,-1.698,-1.789,68.209
﻿Johnny_1280x720,-2.8,-2.9,-2.509,-2.536,-2.394,58.284
﻿KristenAndSara_1280x720,-11.3,-11.9,-2.541,-2.03,-1.963,45.528
﻿BasketballDrillText_832x480,-14.0,-14.0,-0.657,-0.845,-1.247,96.123
﻿ChinaSpeed_1024x768,-31.6,-31.5,-0.846,-0.835,-1.172,42.974
﻿SlideEditing_1280x720,-40.7,-37.7,-0.205,-0.253,-0.696,89.536
﻿SlideShow_1280x720,-22.7,-22.6,-4.919,-4.549,-4.145,213.584
﻿Average:,-14.4,-14.5,-0.941,-0.831,-0.945,77.224
