video sequence,BD-rate(piecewise_cubic)(%),BD-rate(cubic)(%),Delta_Y-PSNR(dB),Delta_U-PSNR(dB),Delta_V-PSNR(dB),Delta_time(%)
﻿Beauty_3840x2160,196.0,181.6,-0.257,1.968,3.399,-46.307
﻿Chimei-inn_3840x2160,105.4,105.0,-1.616,2.705,2.763,-51.581
﻿Girlhood_3840x2160,76.3,76.3,-1.256,3.098,2.569,-58.158
﻿RaceNight_3840x2160,137.2,121.7,-0.997,4.908,4.599,-41.863
﻿PeopleOnStreet_2560x1600,24.2,24.1,-0.499,4.871,5.299,-73.756
﻿Traffic_2560x1600,74.2,74.0,-0.77,1.417,3.051,-59.438
﻿BasketballDrive_1920x1080,75.5,74.8,-0.903,3.597,3.53,-67.035
﻿BQTerrace_1920x1080,114.9,114.3,-0.758,4.274,6.141,-59.455
﻿Cactus_1920x1080,53.9,53.6,-0.487,2.521,3.77,-64.074
﻿Kimono1_1920x1080,90.1,89.7,-1.339,2.453,3.11,-68.916
﻿ParkScene_1920x1080,57.3,57.3,-0.649,2.831,3.81,-64.607
﻿BasketballDrill_832x480,53.3,53.3,-0.806,2.22,2.1,-75.166
﻿BQMall_832x480,46.8,46.7,-0.621,3.67,4.258,-69.879
﻿PartyScene_832x480,38.5,38.4,-0.394,3.793,4.311,-74.847
﻿RaceHorses_832x480,28.3,28.2,-0.237,2.776,4.0,-76.943
﻿BasketballPass_416x240,28.2,28.1,-0.31,3.546,2.585,-77.193
﻿BlowingBubbles_416x240,23.8,23.8,-0.135,3.558,3.96,-74.476
﻿BQSquare_416x240,65.4,65.5,-0.298,6.113,6.463,-70.821
﻿RaceHorses_416x240,21.0,20.9,-0.073,2.763,3.577,-77.35
﻿FourPeople_1280x720,50.9,50.7,-0.808,3.748,4.434,-55.484
﻿Johnny_1280x720,102.9,101.7,-1.205,3.709,3.897,-46.994
﻿KristenAndSara_1280x720,83.0,82.3,-1.028,3.231,3.665,-53.305
﻿BasketballDrillText_832x480,49.5,49.5,-0.756,1.842,1.815,-75.073
﻿ChinaSpeed_1024x768,26.3,26.3,-0.398,3.998,3.431,-74.467
﻿SlideEditing_1280x720,9.4,9.2,-1.795,1.381,1.151,-66.013
﻿SlideShow_1280x720,11.1,10.9,-0.867,2.471,3.463,-72.031
﻿Average,63.2,61.8,-0.741,3.21,3.66,-65.201
