video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
Beauty_3840x2160_br58000(anchor),600,55567.945,36.053,38.413,40.194,1756.403
Beauty_3840x2160_br14700(anchor),600,15425.06,35.133,37.535,39.637,1036.535
Beauty_3840x2160_br2000(anchor),600,2164.365,34.661,36.92,39.114,508.549
Beauty_3840x2160_br1000(anchor),600,1051.248,34.309,36.751,38.865,388.524
Chimei-inn_3840x2160_br7600(anchor),317,7674.633,42.199,46.665,47.034,262.995
Chimei-inn_3840x2160_br4800(anchor),317,5122.064,41.005,45.643,45.956,232.117
Chimei-inn_3840x2160_br2300(anchor),317,2672.066,38.761,43.592,43.835,196.447
Chimei-inn_3840x2160_br1200(anchor),317,1481.557,36.51,41.514,41.707,256.2
Girlhood_3840x2160_br17700(anchor),235,15927.344,43.21,47.374,46.591,318.734
Girlhood_3840x2160_br12000(anchor),235,11147.466,41.686,45.947,45.137,274.758
Girlhood_3840x2160_br6000(anchor),235,5692.778,39.363,44.048,43.074,260.717
Girlhood_3840x2160_br3200(anchor),235,3236.845,37.119,42.027,40.918,221.692
RaceNight_3840x2160_50fps_8bit_br14800(anchor),600,16057.5,36.727,44.1,43.771,1012.214
RaceNight_3840x2160_50fps_8bit_br8500(anchor),600,9486.531,36.264,43.185,42.932,762.468
RaceNight_3840x2160_50fps_8bit_br4300(anchor),600,4236.517,35.553,42.247,41.989,617.276
RaceNight_3840x2160_50fps_8bit_br2400(anchor),600,2307.457,34.519,40.846,40.7,492.047
PeopleOnStreet_2560x1600_30_crop_br10100(anchor),150,10113.19,33.381,40.587,41.253,162.515
PeopleOnStreet_2560x1600_30_crop_br8500(anchor),150,8258.531,32.622,40.039,40.809,159.926
PeopleOnStreet_2560x1600_30_crop_br4300(anchor),150,4677.011,29.725,38.366,39.436,121.59
PeopleOnStreet_2560x1600_30_crop_br2400(anchor),150,2571.563,27.114,36.603,37.61,94.521
Traffic_2560x1600_30_crop_br31000(anchor),150,26542.472,41.855,41.626,44.131,157.811
Traffic_2560x1600_30_crop_br20800(anchor),150,18801.657,40.958,40.965,43.54,136.16
Traffic_2560x1600_30_crop_br10700(anchor),150,10844.232,39.489,40.146,42.704,112.827
Traffic_2560x1600_30_crop_br5800(anchor),150,6087.719,37.802,39.133,41.534,95.179
