video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
Beauty_3840x2160_50_600_br58000(anchor),600,93613.79,36.67,39.07,40.66,554.733
Beauty_3840x2160_50_600_br14700(anchor),600,9059.45,35.06,37.42,39.52,402.377
Beauty_3840x2160_50_600_br2000(anchor),600,612.39,34.11,36.73,38.73,245.593
Beauty_3840x2160_50_600_br1000(anchor),600,343.04,33.46,36.44,38.29,207.223
Chimei-inn_3840x2160_50_317_br7600(anchor),317,6254.76,42.62,46.6,46.82,120.32
Chimei-inn_3840x2160_50_317_br4800(anchor),317,3913.88,41.18,45.28,45.47,113.579
Chimei-inn_3840x2160_50_317_br2300(anchor),317,1798.88,38.22,42.8,42.97,111.877
Chimei-inn_3840x2160_50_317_br1200(anchor),317,887.19,34.83,40.17,40.41,110.946
Girlhood_3840x2160_50_235_br17700(anchor),235,13873.84,43.45,47.66,46.8,131.442
Girlhood_3840x2160_50_235_br12000(anchor),235,10090.51,42.24,46.64,45.71,121.266
Girlhood_3840x2160_50_235_br6000(anchor),235,5489.7,39.98,44.58,43.5,115.891
Girlhood_3840x2160_50_235_br3200(anchor),235,3142.55,37.82,42.46,41.24,110.258
RaceNight_3840x2160_50_235_br14800(anchor),600,9252.5,36.64,43.79,43.5,357.651
RaceNight_3840x2160_50_235_br8500(anchor),600,5070.61,36.06,42.6,42.46,338.511
RaceNight_3840x2160_50_235_br4300(anchor),600,2894.85,35.15,41.21,41.22,317.588
RaceNight_3840x2160_50_235_br2400(anchor),600,1800.99,34.01,39.92,39.98,295.747
PeopleOnStreet_2560x1600_30_crop_150_br10100(anchor),150,8278.69,32.93,39.42,40.31,75.434
PeopleOnStreet_2560x1600_30_crop_150_br8500(anchor),150,7612.65,32.51,39.15,40.09,73.959
PeopleOnStreet_2560x1600_30_crop_150_br4300(anchor),150,4989.48,30.28,37.76,38.9,67.228
PeopleOnStreet_2560x1600_30_crop_150_br2400(anchor),150,2574.81,26.93,35.97,37.35,56.407
Traffic_2560x1600_30_crop_150_br31000(anchor),150,24028.69,41.16,41.5,43.53,51.852
Traffic_2560x1600_30_crop_150_br20800(anchor),150,17019.43,40.22,40.76,42.86,48.548
Traffic_2560x1600_30_crop_150_br10700(anchor),150,6608.33,37.91,39.1,41.27,46.428
Traffic_2560x1600_30_crop_150_br5800(anchor),150,4122.42,36.63,38.27,40.46,45.224
BasketballDrive_1920x1080_50_500_br8300(anchor),501,5241.41,37.16,42.04,42.45,102.123
BasketballDrive_1920x1080_50_500_br5000(anchor),501,3240.66,36.15,41.17,41.18,96.139
BasketballDrive_1920x1080_50_500_br2300(anchor),501,1780.11,34.52,39.8,39.3,90.653
BasketballDrive_1920x1080_50_500_br1100(anchor),501,1134.11,33.09,38.67,37.83,86.632
BQTerrace_1920x1080_60_600_br14000(anchor),601,8190.13,35.24,40.42,42.69,142.696
BQTerrace_1920x1080_60_600_br5100(anchor),601,2559.58,33.6,39.31,41.79,119.336
BQTerrace_1920x1080_60_600_br1300(anchor),601,401.65,29.63,37.04,39.87,92.592
BQTerrace_1920x1080_60_600_br500(anchor),601,229.96,28.18,36.38,39.21,82.187
Cactus_1920x1080_50_500_br7600(anchor),500,4208.24,36.15,38.78,40.96,90.855
Cactus_1920x1080_50_500_br4300(anchor),500,2370.9,34.76,38.07,39.74,87.754
Cactus_1920x1080_50_500_br1900(anchor),500,1088.39,32.17,36.64,37.45,84.456
Cactus_1920x1080_50_500_br900(anchor),500,589.85,30.4,35.68,35.98,77.357
Kimono1_1920x1080_24_240_br5000(anchor),240,4177.79,39.65,41.81,42.86,36.904
Kimono1_1920x1080_24_240_br3300(anchor),240,2875.47,38.64,41.03,42.07,35.621
Kimono1_1920x1080_24_240_br1600(anchor),240,1487.39,36.45,39.54,40.76,35.961
Kimono1_1920x1080_24_240_br800(anchor),240,814.06,34.31,38.49,39.98,36.436
ParkScene_1920x1080_24_240_br7500(anchor),240,6107.42,36.4,39.65,40.55,49.447
ParkScene_1920x1080_24_240_br4400(anchor),240,2998.97,34.45,38.22,39.38,46.037
ParkScene_1920x1080_24_240_br1800(anchor),240,1244.4,31.99,36.65,38.36,42.304
ParkScene_1920x1080_24_240_br700(anchor),240,536.85,29.76,35.54,37.69,37.626
BasketballDrill_832x480_50_500_br2000(anchor),501,1204.43,36.01,39.65,39.26,28.739
BasketballDrill_832x480_50_500_br1300(anchor),501,867.5,34.72,38.45,37.9,27.866
BasketballDrill_832x480_50_500_br600(anchor),501,493.75,32.5,36.36,35.58,26.107
BasketballDrill_832x480_50_500_br300(anchor),501,349.62,31.14,35.16,34.32,24.442
BQMall_832x480_60_600_br1800(anchor),601,1192.83,36.83,40.83,41.73,34.108
BQMall_832x480_60_600_br1100(anchor),601,749.05,34.92,39.39,40.16,32.363
BQMall_832x480_60_600_br500(anchor),601,379.27,32.07,37.37,37.95,30.051
BQMall_832x480_60_600_br200(anchor),601,112.24,27.28,34.28,34.53,22.402
PartyScene_832x480_50_500_br4700(anchor),501,2948.73,33.75,38.02,38.73,40.798
PartyScene_832x480_50_500_br2800(anchor),501,1727.93,31.47,36.44,37.07,38.034
PartyScene_832x480_50_500_br1100(anchor),501,698.94,28.09,34.27,34.88,32.956
PartyScene_832x480_50_500_br400(anchor),501,178.06,24.36,31.96,32.5,23.411
RaceHorses_832x480_30_300_br4400(anchor),300,3740.26,37.06,39.07,40.52,24.967
RaceHorses_832x480_30_300_br2800(anchor),300,2029.04,34.75,37.31,38.99,22.624
RaceHorses_832x480_30_300_br1200(anchor),300,856.17,31.56,35.2,36.78,19.995
RaceHorses_832x480_30_300_br500(anchor),300,399.02,29.07,33.63,34.9,17.341
