video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
Beauty_3840x2160_50_600_qp27(anchor),600,33211.87,35.24493,37.39462,39.51318,501.404
Beauty_3840x2160_50_600_qp32(anchor),600,6095.66,34.87082,36.94085,39.26515,258.139
Beauty_3840x2160_50_600_qp38(anchor),600,2072.05,34.61200,36.87802,39.12401,158.077
Beauty_3840x2160_50_600_qp45(anchor),600,1092.85,34.15631,36.67495,38.72347,125.050
﻿Chimei-inn_3840x2160_50_317_qp27(anchor),317,8111.42,42.98508,47.16756,47.44622,91.108
Chimei-inn_3840x2160_50_317_qp32(anchor),317,4605.91,41.22813,45.43554,45.65323,79.666
Chimei-inn_3840x2160_50_317_qp38(anchor),317,2609.53,38.97434,43.22033,43.31429,73.349
Chimei-inn_3840x2160_50_317_qp45(anchor),317,1472.84,36.07040,40.58955,40.57657,66.923
﻿Girlhood_3840x2160_50_235_qp27(anchor),235,19127.15,43.73560,47.81924,47.10113,95.731
Girlhood_3840x2160_50_235_qp32(anchor),235,10945.06,41.67468,45.92088,45.11858,88.070
Girlhood_3840x2160_50_235_qp38(anchor),235,6095.78,39.34437,43.51207,42.68119,80.002
Girlhood_3840x2160_50_235_qp45(anchor),235,3336.97,36.58984,40.54262,39.64287,71.424
﻿RaceNight_3840x2160_50_235_qp27(anchor),235,13857.55,37.02078,44.38333,44.09004,100.481
RaceNight_3840x2160_50_235_qp32(anchor),235,7693.75,36.56929,43.53974,43.38194,82.161
RaceNight_3840x2160_50_235_qp38(anchor),235,4448.58,35.77947,42.18048,42.04806,66.596
RaceNight_3840x2160_50_235_qp45(anchor),235,2560.95,34.44715,40.31642,40.23887,57.601
﻿PeopleOnStreet_2560x1600_30_crop_150_qp27(anchor),150,30476.83,37.98066,43.27867,43.45057,58.788
PeopleOnStreet_2560x1600_30_crop_150_qp32(anchor),150,17624.17,35.66237,41.56718,42.03599,53.723
PeopleOnStreet_2560x1600_30_crop_150_qp38(anchor),150,10068.80,33.15828,39.58704,40.26489,46.363
PeopleOnStreet_2560x1600_30_crop_150_qp45(anchor),150,5502.67,30.29680,37.25766,38.21644,38.823
﻿Traffic_2560x1600_30_crop_150_qp27(anchor),150,9358.89,39.28712,40.28451,42.68265,30.074
Traffic_2560x1600_30_crop_150_qp32(anchor),150,4720.66,37.45019,39.01501,41.25304,25.411
Traffic_2560x1600_30_crop_150_qp38(anchor),150,2409.00,35.23237,37.52223,39.62208,21.666
