video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
Beauty_3840x2160_50_600_qp27(anchor),600,8949.8812,35.0958,37.2004,39.5550,19766
Beauty_3840x2160_50_600_qp32(anchor),600,1362.2948,34.7594,37.0442,39.3840,8147.2
Beauty_3840x2160_50_600_qp38(anchor),600,433.0568,34.3418,36.8665,39.0879,3976
Beauty_3840x2160_50_600_qp45(anchor),600,177.4424,33.5978,36.5762,38.6992,1933.41
﻿Chimei-inn_3840x2160_50_317_qp27(anchor),317,4236.7314,43.0562,48.0566,48.3015,4230.21
Chimei-inn_3840x2160_50_317_qp32(anchor),317,1863.7802,40.4886,46.2293,46.3736,2690.59
Chimei-inn_3840x2160_50_317_qp38(anchor),317,821.7706,37.0947,44.0185,44.0624,1758.94
Chimei-inn_3840x2160_50_317_qp45(anchor),317,371.7600,34.9137,41.9079,41.9515,1094
﻿Girlhood_3840x2160_50_235_qp27(anchor),235,8783.7181,42.6138,47.5925,46.6411,4937.09
Girlhood_3840x2160_50_235_qp32(anchor),235,4165.4431,39.8667,45.1590,44.0336,3396.37
Girlhood_3840x2160_50_235_qp38(anchor),235,1892.7105,36.7780,42.1689,40.8355,2310.35
Girlhood_3840x2160_50_235_qp45(anchor),235,859.0826,33.6366,39.8609,38.4387,1491.59
﻿RaceNight_3840x2160_50_600_qp27(anchor),600,6412.1456,36.4768,43.9107,43.5394,12172.2
RaceNight_3840x2160_50_600_qp32(anchor),600,2079.6952,35.6095,42.6679,42.4169,7129.67
RaceNight_3840x2160_50_600_qp38(anchor),600,963.3144,33.9919,40.6499,40.5258,4390.52
RaceNight_3840x2160_50_600_qp45(anchor),600,495.6324,32.2245,39.3274,39.2863,2426.57
﻿PeopleOnStreet_2560x1600_30_crop_150_qp27(anchor),150,10930.5136,35.9894,42.3884,42.8634,2132.62
PeopleOnStreet_2560x1600_30_crop_150_qp32(anchor),150,5685.5024,32.9358,40.5750,41.5138,1500.72
PeopleOnStreet_2560x1600_30_crop_150_qp38(anchor),150,2596.2560,29.1863,38.5121,39.8163,984.795
PeopleOnStreet_2560x1600_30_crop_150_qp45(anchor),150,985.2864,25.4082,37.0511,38.5518,617.099
﻿Traffic_2560x1600_30_crop_150_qp27(anchor),150,3324.3472,38.8296,39.7845,42.2964,982.26
Traffic_2560x1600_30_crop_150_qp32(anchor),150,1495.5584,36.1798,38.4435,40.6806,668.396
Traffic_2560x1600_30_crop_150_qp38(anchor),150,622.7440,32.8849,36.7735,38.8680,456.251
Traffic_2560x1600_30_crop_150_qp45(anchor),150,247.7760,29.5585,35.5068,37.6863,303.009
﻿BasketballDrive_1920x1080_50_500_qp27(anchor),501,2612.0666,37.1582,42.5360,42.9632,3176.87
BasketballDrive_1920x1080_50_500_qp32(anchor),501,1194.5183,35.2175,41.1257,40.8335,2048.12
BasketballDrive_1920x1080_50_500_qp38(anchor),501,503.3456,32.5881,39.1353,37.9916,1254
BasketballDrive_1920x1080_50_500_qp45(anchor),501,213.9028,29.9184,37.6099,36.0875,748.338
﻿BQTerrace_1920x1080_60_600_qp27(anchor),601,1818.1869,34.7232,40.8209,43.3198,2138.26
BQTerrace_1920x1080_60_600_qp32(anchor),601,619.1129,33.1808,39.6112,42.2967,1292.89
BQTerrace_1920x1080_60_600_qp38(anchor),601,233.8570,30.8390,38.1583,41.0485,836.406
BQTerrace_1920x1080_60_600_qp45(anchor),601,88.7756,28.0460,36.9545,39.9339,507.641
﻿Cactus_1920x1080_50_500_qp27(anchor),500,2599.9594,36.7093,39.1810,42.1171,2536.24
Cactus_1920x1080_50_500_qp32(anchor),500,1178.1634,34.7774,38.2655,40.4203,1671.57
Cactus_1920x1080_50_500_qp38(anchor),500,489.9595,31.9666,36.8576,38.2263,1052.22
Cactus_1920x1080_50_500_qp45(anchor),500,193.3104,29.1537,35.5067,36.2595,645.53
﻿Kimono1_1920x1080_24_240_qp27(anchor),240,2790.9870,40.2825,42.7196,44.0592,1377.75
Kimono1_1920x1080_24_240_qp32(anchor),240,1323.1530,38.0345,41.4133,42.4521,892.582
Kimono1_1920x1080_24_240_qp38(anchor),240,545.3010,35.0175,39.9477,41.0045,553.154
Kimono1_1920x1080_24_240_qp45(anchor),240,196.9110,31.8853,38.5311,39.9582,324.344
﻿ParkScene_1920x1080_24_240_qp27(anchor),240,3134.6470,37.5240,40.9071,41.8785,1111.11
ParkScene_1920x1080_24_240_qp32(anchor),240,1328.3550,34.8747,39.2462,40.1086,744.846
ParkScene_1920x1080_24_240_qp38(anchor),240,482.8940,31.8536,37.3718,38.6748,480.223
ParkScene_1920x1080_24_240_qp45(anchor),240,159.8420,29.0365,35.9587,37.8448,298.675
﻿BasketballDrill_832x480_50_500_qp27(anchor),501,969.4213,38.4659,41.6729,41.9967,702.174
BasketballDrill_832x480_50_500_qp32(anchor),501,471.9487,35.4083,39.3995,39.5044,497.413
