video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
Beauty_3840x2160_50_600_qp27(anchor),600,37797.20,35.606045,36.2043566667,36.6241516667,598.52
Beauty_3840x2160_50_600_qp30(anchor),600,6754.37,34.94747,35.549765,36.0624033333,242.01
Beauty_3840x2160_50_600_qp35(anchor),600,1725.71,34.663745,35.218195,35.766695,159.53
Beauty_3840x2160_50_600_qp40(anchor),600,804.95,34.3195933333,34.924875,35.4657883333,130.53
﻿Chimei-inn_3840x2160_50_317_qp27(anchor),317,6221.57,42.9021735016,43.8468548896,43.9324321767,96.51
Chimei-inn_3840x2160_50_317_qp30(anchor),317,4060.31,41.484829653,42.4689305994,42.5407539432,86.63
Chimei-inn_3840x2160_50_317_qp35(anchor),317,2012.09,38.7830031546,39.8861324921,39.9381577287,71.40
Chimei-inn_3840x2160_50_317_qp40(anchor),317,1030.08,35.9285520505,37.2586088328,37.2951388013,62.07
﻿Girlhood_3840x2160_50_235_qp27(anchor),235,15962.87,43.8327021277,44.8819702128,44.6785914894,138.12
Girlhood_3840x2160_50_235_qp30(anchor),235,10816.97,42.340012766,43.4559659574,43.2417914894,123.28
Girlhood_3840x2160_50_235_qp35(anchor),235,5604.64,39.6806170213,40.8992468085,40.6591957447,102.49
Girlhood_3840x2160_50_235_qp40(anchor),235,3026.10,36.9504297872,38.3623106383,38.0928978723,86.68
﻿RaceNight_3840x2160_50_235_qp27(anchor),600,12447.51,36.7848783333,38.633395,38.5491,258.11
RaceNight_3840x2160_50_235_qp30(anchor),600,7602.89,36.47551,38.253155,38.2004633333,224.77
RaceNight_3840x2160_50_235_qp35(anchor),600,4059.54,35.6976783333,37.3381933333,37.33762,189.79
RaceNight_3840x2160_50_235_qp40(anchor),600,2280.51,34.4996533333,36.1179066667,36.1411983333,165.49
﻿PeopleOnStreet_2560x1600_30_crop_150_qp27(anchor),150,26496.08,37.9322933333,39.1049066667,39.1874466667,70.57
PeopleOnStreet_2560x1600_30_crop_150_qp30(anchor),150,18045.67,36.2768533333,37.6094866667,37.7454133333,61.89
PeopleOnStreet_2560x1600_30_crop_150_qp35(anchor),150,9590.51,33.4622733333,35.0490533333,35.2643733333,50.20
PeopleOnStreet_2560x1600_30_crop_150_qp40(anchor),150,5100.32,30.5875,32.5083333333,32.7700266667,41.02
﻿Traffic_2560x1600_30_crop_150_qp27(anchor),150,6996.56,39.13852,39.28368,39.9081533333,32.24
Traffic_2560x1600_30_crop_150_qp30(anchor),150,4126.08,37.5900866667,37.8873066667,38.5144,26.16
Traffic_2560x1600_30_crop_150_qp35(anchor),150,1833.22,34.86498,35.51344,36.1194533333,20.24
Traffic_2560x1600_30_crop_150_qp40(anchor),150,851.67,32.0696333333,33.1706333333,33.7544466667,16.26
﻿BasketballDrive_1920x1080_50_500_qp27(anchor),501,6455.95,37.8706826347,39.1002994012,39.3005868263,72.02
BasketballDrive_1920x1080_50_500_qp30(anchor),501,4043.78,36.8816167665,38.180754491,38.3071976048,62.18
BasketballDrive_1920x1080_50_500_qp35(anchor),501,1986.09,34.9288023952,36.3646107784,36.3608862275,50.31
BasketballDrive_1920x1080_50_500_qp40(anchor),501,992.50,32.6726886228,34.3564371257,34.2456826347,41.55
﻿BQTerrace_1920x1080_60_600_qp27(anchor),601,7180.28,35.6027703827,36.8431264559,37.4366372712,78.11
BQTerrace_1920x1080_60_600_qp30(anchor),601,2812.30,34.4572828619,35.8699833611,36.4992212978,53.12
BQTerrace_1920x1080_60_600_qp35(anchor),601,858.92,32.4794009983,34.141936772,34.8005440932,34.13
BQTerrace_1920x1080_60_600_qp40(anchor),601,355.27,30.4113976705,32.3773660566,33.0264875208,27.18
﻿Cactus_1920x1080_50_500_qp27(anchor),500,5508.75,36.997394,37.519952,38.20737,60.06
Cactus_1920x1080_50_500_qp30(anchor),500,3334.16,35.946348,36.600916,37.19061,50.81
Cactus_1920x1080_50_500_qp35(anchor),500,1550.08,33.82462,34.757474,35.17261,41.13
Cactus_1920x1080_50_500_qp40(anchor),500,732.21,31.435294,32.710944,32.985572,33.88
﻿Kimono1_1920x1080_24_240_qp27(anchor),240,3958.47,40.0818333333,40.5919541667,40.9011916667,36.04
Kimono1_1920x1080_24_240_qp30(anchor),240,2626.53,38.8859541667,39.4876583333,39.7782833333,31.78
Kimono1_1920x1080_24_240_qp35(anchor),240,1291.58,36.5354083333,37.3681708333,37.6917833333,24.85
Kimono1_1920x1080_24_240_qp40(anchor),240,614.79,33.9360791667,35.1475291667,35.5253125,19.09
﻿ParkScene_1920x1080_24_240_qp27(anchor),240,5499.45,37.4478083333,38.1227791667,38.4010291667,30.36
ParkScene_1920x1080_24_240_qp30(anchor),240,3309.56,35.8481416667,36.6611708333,36.9622916667,24.87
