video sequence,total frames,bitrate(kbps),Y-PSNR(dB),U-PSNR(dB),V-PSNR(dB),time(s)
Beauty_3840x2160_br58000(anchor),600,57897.96,35.69918,38.04401,39.77539,767.45
Beauty_3840x2160_br14700(anchor),600,14628.78,34.98924,37.30781,39.34617,420.31
Beauty_3840x2160_br2000(anchor),600,1974.8,34.59488,36.71706,38.88363,178.55
Beauty_3840x2160_br1000(anchor),600,980.01,34.09189,36.57033,38.64575,149.28
Chimei-inn_3840x2160_br7600(anchor),317,8629.9,42.89058991,46.82838486,47.13294953,127.33
Chimei-inn_3840x2160_br4800(anchor),317,5549.56,41.52606625,45.60135016,45.86176341,110.11
Chimei-inn_3840x2160_br2300(anchor),317,2655.59,38.778653,43.38556782,43.54429968,89.62
Chimei-inn_3840x2160_br1200(anchor),317,1357.72,35.88848265,41.37998738,41.52118927,75.56
Girlhood_3840x2160_br17700(anchor),235,16400.3,43.72711064,47.81711064,47.03009362,148.77
Girlhood_3840x2160_br12000(anchor),235,11059.62,42.18177872,46.47662979,45.62062553,135.53
Girlhood_3840x2160_br6000(anchor),235,5519.43,39.24892766,43.99569362,43.02574043,113.61
Girlhood_3840x2160_br3200(anchor),235,2956.42,36.2501617,41.89891915,40.71331489,95.24
RaceNight_3840x2160_50fps_8bit_br14800(anchor),600,14778.42,36.69261,43.70032,43.38723,375.6
RaceNight_3840x2160_50fps_8bit_br8500(anchor),600,8139.51,36.38195,43.12563,42.92805,265.01
RaceNight_3840x2160_50fps_8bit_br4300(anchor),600,4120.84,35.45682,41.64924,41.65932,205.39
RaceNight_3840x2160_50fps_8bit_br2400(anchor),600,2300.51,34.06549,40.24688,40.36382,179.01
PeopleOnStreet_2560x1600_30_crop_br10100(anchor),150,10396.95,34.663,40.0725,40.8995,49.96
PeopleOnStreet_2560x1600_30_crop_br8500(anchor),150,8752.48,33.8655,39.637,40.4925,47.8
PeopleOnStreet_2560x1600_30_crop_br4300(anchor),150,4431.09,31.111,38.4135,39.418,38.96
PeopleOnStreet_2560x1600_30_crop_br2400(anchor),150,2456.96,28.873,37.4105,38.535,32.37
Traffic_2560x1600_30_crop_br31000(anchor),150,31441.41,42.09116,42.04306667,44.14866667,59.96
Traffic_2560x1600_30_crop_br20800(anchor),150,21076.81,41.05045333,41.1714,43.36609333,52.21
Traffic_2560x1600_30_crop_br10700(anchor),150,10801.31,39.25144,39.76621333,41.99430667,41.74
Traffic_2560x1600_30_crop_br5800(anchor),150,5809.01,37.30518667,38.56169333,40.78809333,33.94
BasketballDrive_1920x1080_50_br8300(anchor),501,8318.25,37.9562994,42.53953293,43.18132934,89.74
BasketballDrive_1920x1080_50_br5000(anchor),501,5010.74,36.92597006,41.7418024,42.07347904,76.49
BasketballDrive_1920x1080_50_br2300(anchor),501,2305.48,34.79528743,40.08659281,39.84001796,59.74
BasketballDrive_1920x1080_50_br1100(anchor),501,1102.11,32.29190419,38.67335329,37.89883832,47.35
BQTerrace_1920x1080_60_br14000(anchor),601,14288.26,35.73702995,40.70598835,42.95114809,114.9
BQTerrace_1920x1080_60_br5100(anchor),601,5187.32,34.39031947,39.85562063,42.28487521,83.97
BQTerrace_1920x1080_60_br1300(anchor),601,1315.27,32.15361564,38.50436606,41.15329451,52.07
BQTerrace_1920x1080_60_br500(anchor),601,511.86,30.1680183,37.72220632,40.41198336,36.7
Cactus_1920x1080_50_br7600(anchor),500,7608.58,36.90913,39.08756,41.6138,76.57
Cactus_1920x1080_50_br4300(anchor),500,4304.85,35.75999,38.47373,40.63286,61.33
Cactus_1920x1080_50_br1900(anchor),500,1904.39,33.37581,37.25259,38.71542,49.64
Cactus_1920x1080_50_br900(anchor),500,901.77,30.91942,36.20128,37.08601,41.8
Kimono1_1920x1080_24_br5000(anchor),240,4526.11,39.8077625,41.7449875,42.8599125,39.54
Kimono1_1920x1080_24_br3300(anchor),240,2887,38.450175,40.78095,41.8607875,34.69
Kimono1_1920x1080_24_br1600(anchor),240,1350.2,35.753875,39.1397375,40.456725,27.69
Kimono1_1920x1080_24_br800(anchor),240,666.68,33.059525,38.0282875,39.72295,21.71
ParkScene_1920x1080_24_br7500(anchor),240,7396.36,37.342325,39.942875,40.9296375,39.67
ParkScene_1920x1080_24_br4400(anchor),240,4322.91,35.65275,38.8705625,39.97405,33.25
ParkScene_1920x1080_24_br1800(anchor),240,1770.88,32.8778125,37.0936375,38.6521375,25.11
ParkScene_1920x1080_24_br700(anchor),240,692.4,30.2011625,35.81405,37.8759875,18.19
BasketballDrill_832x480_50_br2000(anchor),501,2048.1,37.90134132,40.74383234,40.99367066,18.62
BasketballDrill_832x480_50_br1300(anchor),501,1339.23,36.075,39.40416168,39.53092814,16.17
BasketballDrill_832x480_50_br600(anchor),501,624.65,33.01591617,37.01865868,36.85953892,12.69
BasketballDrill_832x480_50_br300(anchor),501,315.04,30.39553892,35.16140719,34.5684012,10.09
BQMall_832x480_60_br1800(anchor),601,1811.23,37.64282862,41.44153577,42.55254576,20.43
BQMall_832x480_60_br1100(anchor),601,1112.86,35.78597171,40.16389684,41.13724459,17.27
BQMall_832x480_60_br500(anchor),601,511.87,32.69326789,38.18681032,38.94336938,13.38
BQMall_832x480_60_br200(anchor),601,208.19,29.08416473,36.01995507,36.47556406,10.21
PartyScene_832x480_50_br4700(anchor),501,4510.53,34.91465868,38.70674251,39.45328743,25.32
PartyScene_832x480_50_br2800(anchor),501,2680.41,32.60511377,37.32142515,38.06108982,21.18
PartyScene_832x480_50_br1100(anchor),501,1055.87,28.9747006,35.2191497,35.9279521,15.3
PartyScene_832x480_50_br400(anchor),501,391.9,25.83668862,33.51208383,34.21377844,10.61
RaceHorses_832x480_30_br4400(anchor),300,4034.24,36.90847,39.44635,40.92502,16.03
RaceHorses_832x480_30_br2800(anchor),300,2583.55,35.14221,38.18524,39.77697,13.73
RaceHorses_832x480_30_br1200(anchor),300,1137.29,31.96261,36.00101,37.61694,10.76
RaceHorses_832x480_30_br500(anchor),300,492.08,28.96794,34.06111,35.48738,8.45
BasketballPass_416x240_50_br900(anchor),501,964.66,38.62999401,41.98434132,41.23917365,6.11
BasketballPass_416x240_50_br600(anchor),501,643.75,36.4607006,40.36794611,39.44391018,5.38
BasketballPass_416x240_50_br300(anchor),501,324.52,33.13252096,37.97677246,36.7290479,4.34
BasketballPass_416x240_50_br100(anchor),501,111.97,28.65574251,34.96307784,32.82235329,3.08
BlowingBubbles_416x240_50_br1000(anchor),501,1052.14,34.8744491,38.4737485,39.021,6.07
BlowingBubbles_416x240_50_br600(anchor),501,633.63,32.62751497,37.07814371,37.61584431,4.99
BlowingBubbles_416x240_50_br200(anchor),501,214.16,28.52297006,34.49687425,34.96106587,3.52
BlowingBubbles_416x240_50_br100(anchor),501,108.05,26.47508383,33.20902395,33.75300599,2.74
BQSquare_416x240_60_br1100(anchor),601,1091.42,34.55091681,40.42642097,41.23130449,7.15
BQSquare_416x240_60_br600(anchor),601,594.58,32.11147754,39.39036772,40.19685524,5.85
BQSquare_416x240_60_br200(anchor),601,200.94,28.38395008,38.01043428,38.6992812,3.95
BQSquare_416x240_60_br70(anchor),601,72.56,25.2341015,37.06342762,37.72206323,2.64
RaceHorses_416x240_30_br1100(anchor),300,1077.27,36.31102,38.69325,39.79294,4.16
RaceHorses_416x240_30_br800(anchor),300,786.44,34.67333,37.60684,38.7306,3.71
RaceHorses_416x240_30_br300(anchor),300,299.64,30.4244,34.59999,35.60085,2.74
RaceHorses_416x240_30_br100(anchor),300,100.96,26.75826,31.44865,32.22455,1.95
FourPeople_1280x720_60_br800(anchor),600,759.88,39.84896,44.21712,45.35604,21.55
FourPeople_1280x720_60_br500(anchor),600,474.27,38.31304,43.1061,44.19785,18.56
FourPeople_1280x720_60_br200(anchor),600,190.74,34.51433,40.74909,41.65004,14.74
FourPeople_1280x720_60_br100(anchor),600,92.85,31.36104,39.458,40.1131,12.53
Johnny_1280x720_60_br500(anchor),600,482.85,40.86309,45.93219,46.54314,19.66
Johnny_1280x720_60_br250(anchor),600,238.82,39.41059,44.76609,45.3373,15.97
Johnny_1280x720_60_br100(anchor),600,93.94,36.45231,42.72291,43.25717,12.54
Johnny_1280x720_60_br60(anchor),600,54.92,34.10017,41.5316,42.05993,11.23
KristenAndSara_1280x720_60_br700(anchor),600,701.46,41.02865,45.11101,45.97338,22.92
KristenAndSara_1280x720_60_br400(anchor),600,401.92,39.57093,43.95188,44.83633,19.17
KristenAndSara_1280x720_60_br200(anchor),600,201.78,37.15742,42.13199,43.0615,15.77
KristenAndSara_1280x720_60_br100(anchor),600,100.25,34.12877,40.51697,41.54916,13.14
BasketballDrillText_832x480_50_br2200(anchor),501,2279.27,37.8355988,40.36825749,40.64755689,18.72
BasketballDrillText_832x480_50_br1500(anchor),501,1558.97,36.08510778,38.98587425,39.17767066,16.45
BasketballDrillText_832x480_50_br700(anchor),501,732.64,32.76512575,36.28001796,36.29936527,12.77
BasketballDrillText_832x480_50_br300(anchor),501,314.18,29.22041916,33.62571257,33.44238922,9.74
ChinaSpeed_1024x768_30_br5400(anchor),500,5313.95,38.73472,42.66133,42.86853,39.79
ChinaSpeed_1024x768_30_br3700(anchor),500,3602.65,36.66029,41.28759,41.30396,35.03
ChinaSpeed_1024x768_30_br1700(anchor),500,1629.83,33.00822,38.91894,38.25427,26.99
ChinaSpeed_1024x768_30_br700(anchor),500,669.07,29.73104,37.10115,36.0728,20.71
SlideEditing_1280x720_30_br700(anchor),300,643.15,35.38892,39.52486,39.46833,7.52
SlideEditing_1280x720_30_br500(anchor),300,502.66,33.68117,38.75167,38.60406,7.09
SlideEditing_1280x720_30_br400(anchor),300,429.69,32.76542,38.3626,38.1447,6.79
SlideEditing_1280x720_30_br200(anchor),300,291.2,30.62603,37.57357,37.14678,6.16
SlideShow_1280x720_20_br1200(anchor),500,1133.52,46.73545,50.95355,52.08958,18.14
SlideShow_1280x720_20_br900(anchor),500,867.57,44.58013,49.17656,50.27947,17.34
SlideShow_1280x720_20_br500(anchor),500,575.22,40.92308,46.1481,47.59591,15.95
SlideShow_1280x720_20_br300(anchor),500,440.26,38.03912,44.10916,45.60457,14.86
