MAC,ICCID,IMEI,IMSI,ICCID,IMEI,IMSI
88:12:4E:60:21:10	,89860620180045653996	,865396052606452	,460065318189130	,0,0,0
88:12:4E:60:21:C0	,89860620180045654895	,865396052601438	,460065318189220	,898604A8102140156049	,865396052621147	,460082859306049	
88:12:4E:60:21:C0	,89860620180045654895	,865396052601438	,460065318189220	,898604A8102140156049	,865396052621147	,460082859306049	
88:12:4E:60:21:D0	,89860620180045655397	,865396052624679	,460065318189270	,898604A8102140155999	,864337059755240	,460082859305999	
88:12:4E:60:21:D0	,89860620180045655397	,865396052624679	,460065318189270	,898604A8102140155999	,864337059755240	,460082859305999	
88:12:4E:60:22:00	,89860620180045654721	,864337059896267	,460065318189203	,898604A8102140156066	,864337059896374	,460082859306066	
88:12:4E:60:22:40	,89860620180045654069	,865396052600448	,460065318189137	,0,0,0
88:12:4E:60:23:00	,89860620180045655538	,864337059755265	,460065318189284	,0,0,0
88:12:4E:60:23:40	,89860620180045653517	,865396052621113	,460065318189082	,898604A8102140156187	,865396052624653	,460082859306187	
88:12:4E:60:23:80	,89860620180045655173	,864337059896168	,460065318189248	,898604A8102140156021	,864337059895608	,460082859306021	
88:12:4E:60:23:D0	,89860620180045653228	,865396052621444	,460065318189053	,0,0,0
88:12:4E:60:24:60	,89860620180045653251	,865396052601297	,460065318189056	,898604A8102140156213	,865396052610181	,460082859306213	
88:12:4E:60:24:F0	,89860620180045652956	,865396052623978	,460065318189026	,898604A8102140156243	,865396052621022	,460082859306243	
88:12:4E:60:25:40	,89860620180045655561	,865396052615826	,460065318189287	,0,0,0
88:12:4E:60:25:80	,89860620180045653822	,865396052599723	,460065318189113	,898604A8102140156156	,865396052620560	,460082859306156	
88:12:4E:60:27:60	,89860620180045653533	,865396052615586	,460065318189084	,0,0,0
88:12:4E:60:27:90	,89860620180045654747	,864337059895954	,460065318189205	,898604A8102140156064	,865396052610066	,460082859306064	
88:12:4E:60:28:10	,89860620180045653871	,865396052606759	,460065318189118	,0,0,0
88:12:4E:60:28:60	,89860620180045653558	,865396052603772	,460065318189086	,898604A8102140156183	,865396052607385	,460082859306183	
88:12:4E:60:28:B0	,89860620180045654879	,865396052548662	,460065318189218	,898604A8102140156051	,865396052599749	,460082859306051	
88:12:4E:60:29:30	,89860620180045655652	,865396052614654	,460065318189296	,0,0,0
88:12:4E:60:29:E0	,89860620180045654507	,864337059895657	,460065318189181	,898604A8102140156088	,864337059896069	,460082859306088	
88:12:4E:60:21:10	,89860620180045653996	,865396052606452	,460065318189130	,0,0,0
88:12:4E:60:22:40	,89860620180045654069	,865396052600448	,460065318189137	,0,0,0
88:12:4E:60:23:40	,89860620180045653517	,865396052621113	,460065318189082	,898604A8102140156187	,865396052624653	,460082859306187	
88:12:4E:60:23:80	,89860620180045655173	,864337059896168	,460065318189248	,898604A8102140156021	,864337059895608	,460082859306021	
88:12:4E:60:24:60	,89860620180045653251	,865396052601297	,460065318189056	,898604A8102140156213	,865396052610181	,460082859306213	
88:12:4E:60:24:F0	,89860620180045652956	,865396052623978	,460065318189026	,898604A8102140156243	,865396052621022	,460082859306243	
88:12:4E:60:25:40	,89860620180045655561	,865396052615826	,460065318189287	,0,0,0
88:12:4E:60:25:80	,89860620180045653822	,865396052599723	,460065318189113	,898604A8102140156156	,865396052620560	,460082859306156	
88:12:4E:60:27:60	,89860620180045653533	,865396052615586	,460065318189084	,0,0,0
88:12:4E:60:27:90	,89860620180045654747	,864337059895954	,460065318189205	,898604A8102140156064	,865396052610066	,460082859306064	
88:12:4E:60:28:10	,89860620180045653871	,865396052606759	,460065318189118	,0,0,0
88:12:4E:60:28:60	,89860620180045653558	,865396052603772	,460065318189086	,898604A8102140156183	,865396052607385	,460082859306183	
88:12:4E:60:28:B0	,89860620180045654879	,865396052548662	,460065318189218	,898604A8102140156051	,865396052599749	,460082859306051	
88:12:4E:60:29:30	,89860620180045655652	,865396052614654	,460065318189296	,0,0,0
88:12:4E:60:29:E0	,89860620180045654507	,864337059895657	,460065318189181	,898604A8102140156088	,864337059896069	,460082859306088	
88:12:4E:60:2E:00	,89860620180045653350	,865396052601412	,460065318189066	,898604A8102140156203	,865396052601206	,460082859306203	
88:12:4E:60:2E:B0	,89860620180045654093	,865396052625015	,460065318189140	,898604A8102140156129	,865396052621162	,460082859306129	
88:12:4E:60:2F:20	,89860620180045654390	,864337059878414	,460065318189170	,898604A8102140156099	,864337059895681	,460082859306099	
88:12:4E:60:2F:60	,89860620180045655553	,864337059756156	,460065318189286	,898604A8102140155983	,864337059755257	,460082859305983	
88:12:4E:60:2F:90	,89860620180045655629	,865396052604135	,460065318189293	,898604A8102140155976	,864337059735689	,460082859305976	
