MAC,ICCID,IMEI,IMSI,ICCID,IMEI,IMSI
88:12:4E:60:2A:A0	,89860620180045652741	,865396052624554	,460065318189005	,865396052624612	,460082859306264	,898604A8102140156264	
88:12:4E:60:21:C0	,89860620180045654895	,865396052601438	,460065318189220	,865396052621147	,460082859306049	,898604A8102140156049	
88:12:4E:60:21:C0	,89860620180045654895	,865396052601438	,460065318189220	,865396052621147	,460082859306049	,898604A8102140156049	
88:12:4E:60:21:D0	,89860620180045655397	,865396052624679	,460065318189270	,864337059755240	,460082859305999	,898604A8102140155999	
88:12:4E:60:21:D0	,89860620180045655397	,865396052624679	,460065318189270	,864337059755240	,460082859305999	,898604A8102140155999	
88:12:4E:60:2A:A0	,89860620180045652741	,865396052624554	,460065318189005	,865396052624612	,460082859306264	,898604A8102140156264	
88:12:4E:60:2A:A0	,89860620180045652741	,865396052624554	,460065318189005	,865396052624612	,460082859306264	,898604A8102140156264	
88:12:4E:60:2A:F0	,89860620180045654739	,864337059755844	,460065318189204	,864337059896135	,460082859306065	,898604A8102140156065	
88:12:4E:60:2A:F0	,89860620180045654739	,864337059755844	,460065318189204	,864337059896135	,460082859306065	,898604A8102140156065	
88:12:4E:60:2C:70	,89860620180045652931	,865396052624752	,460065318189024	,865396052621014	,460082859306245	,898604A8102140156245	
88:12:4E:60:2D:70	,89860620180045654374	,864337059896481	,460065318189168	,864337059878570	,460082859306101	,898604A8102140156101	
88:12:4E:60:2D:A0	,89860620180045654929	,865396052609928	,460065318189223	,865396052553506	,460082859306046	,898604A8102140156046	
88:12:4E:60:2E:90	,89860620180045653335	,865396052599285	,460065318189064	,865396052568967	,460082859306205	,898604A8102140156205	
88:12:4E:60:2F:A0	,89860620180045654424	,864337059755398	,460065318189173	,864337059896119	,460082859306096	,898604A8102140156096	
88:12:4E:60:2F:A0	,89860620180045654424	,864337059755398	,460065318189173	,864337059896119	,460082859306096	,898604A8102140156096	
